"gene","transcript","protein","uniprot","align","identity","evalue","name","lineage","domain","genus"
"12","TRINITY_DN101964_c0_g1","TRINITY_DN101964_c0_g1_i1","TRINITY_DN101964_c0_g1::TRINITY_DN101964_c0_g1_i1::g.18236::m.18236","POL_AVIRE","Q:46-558,H:173-351",28.022,2.96e-12,"Gag-Pol polyprotein","Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Gammaretrovirus","Viruses","Gammaretrovirus"
"13","TRINITY_DN102218_c0_g1","TRINITY_DN102218_c0_g1_i1","TRINITY_DN102218_c0_g1::TRINITY_DN102218_c0_g1_i1::g.59537::m.59537","XYL3A_PRER2","Q:523-11,H:55-226",41.379,4.79e-36,"Xylan 1,4-beta-xylosidase","Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella","Bacteria","Prevotella"
"14","TRINITY_DN102716_c0_g1","TRINITY_DN102716_c0_g1_i1","TRINITY_DN102716_c0_g1::TRINITY_DN102716_c0_g1_i1::g.67485::m.67485","Y068_OSHVF","Q:199-1053,H:276-574",24.415,3.28e-25,"Putative transmembrane protein ORF68","Viruses; Herpesvirales; Malacoherpesviridae; Ostreavirus","Viruses","Ostreavirus"
"15","TRINITY_DN102767_c0_g1","TRINITY_DN102767_c0_g1_i3",NA,"PIKA1_STRVZ","Q:37-249,H:3262-3338",37.662,5.52e-08,"Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","Bacteria","Streptomyces"
"16","TRINITY_DN103339_c0_g1","TRINITY_DN103339_c0_g1_i2","TRINITY_DN103339_c0_g1::TRINITY_DN103339_c0_g1_i2::g.37010::m.37010","Y045_METMA","Q:4-447,H:74-221",29.054,1.15e-12,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"17","TRINITY_DN103339_c0_g1","TRINITY_DN103339_c0_g1_i2","TRINITY_DN103339_c0_g1::TRINITY_DN103339_c0_g1_i2::g.37010::m.37010","Y045_METMA","Q:85-447,H:167-287",30.579,1.27e-09,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"18","TRINITY_DN103339_c0_g1","TRINITY_DN103339_c0_g1_i2","TRINITY_DN103339_c0_g1::TRINITY_DN103339_c0_g1_i2::g.37010::m.37010","Y045_METMA","Q:64-441,H:127-252",30.709,4.48e-09,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"19","TRINITY_DN103339_c0_g1","TRINITY_DN103339_c0_g1_i2","TRINITY_DN103339_c0_g1::TRINITY_DN103339_c0_g1_i2::g.37010::m.37010","Y045_METMA","Q:85-441,H:233-351",29.412,5.39e-07,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"20","TRINITY_DN103715_c0_g1","TRINITY_DN103715_c0_g1_i2",NA,"ANKX_LEGPH","Q:1-207,H:402-476",37.333,3.75e-06,"Phosphocholine transferase AnkX","Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella","Bacteria","Legionella"
"21","TRINITY_DN104446_c1_g1","TRINITY_DN104446_c1_g1_i1","TRINITY_DN104446_c1_g1::TRINITY_DN104446_c1_g1_i1::g.42646::m.42646","Y045_METMA","Q:393-1,H:104-235",31.818,2.21e-13,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"22","TRINITY_DN104446_c1_g1","TRINITY_DN104446_c1_g1_i1","TRINITY_DN104446_c1_g1::TRINITY_DN104446_c1_g1_i1::g.42646::m.42646","Y045_METMA","Q:387-7,H:171-299",31.783,2.25e-13,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"23","TRINITY_DN104701_c0_g1","TRINITY_DN104701_c0_g1_i1","TRINITY_DN104701_c0_g1::TRINITY_DN104701_c0_g1_i1::g.26517::m.26517","AMID_RHOER","Q:1010-303,H:265-501",42.194,5.22e-57,"Amidase","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus","Bacteria","Rhodococcus"
"24","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i13",NA,"V245_FOWPN","Q:247-5,H:131-211",43.21,5.99e-16,"Putative ankyrin repeat protein FPV245","Viruses; Poxviridae; Chordopoxvirinae; Avipoxvirus","Viruses","Avipoxvirus"
"25","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i13",NA,"V245_FOWPN","Q:232-2,H:103-179",37.662,1.7e-12,"Putative ankyrin repeat protein FPV245","Viruses; Poxviridae; Chordopoxvirinae; Avipoxvirus","Viruses","Avipoxvirus"
"26","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i13",NA,"V245_FOWPN","Q:247-44,H:164-231",45.588,2.96e-11,"Putative ankyrin repeat protein FPV245","Viruses; Poxviridae; Chordopoxvirinae; Avipoxvirus","Viruses","Avipoxvirus"
"27","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i13",NA,"V245_FOWPN","Q:247-5,H:42-145",28.846,3.88e-06,"Putative ankyrin repeat protein FPV245","Viruses; Poxviridae; Chordopoxvirinae; Avipoxvirus","Viruses","Avipoxvirus"
"28","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i16",NA,"YL093_MIMIV","Q:211-2,H:339-408",50,4.42e-13,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"29","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i16",NA,"YL093_MIMIV","Q:211-14,H:269-334",46.97,9.86e-10,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"30","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i16",NA,"YL093_MIMIV","Q:211-2,H:302-375",45.946,1.18e-09,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"31","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i16",NA,"YL093_MIMIV","Q:211-71,H:372-418",57.447,2.45e-09,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"32","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i16",NA,"YL093_MIMIV","Q:211-2,H:232-305",44.595,1.12e-08,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"33","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i2",NA,"V245_FOWPN","Q:239-3,H:141-219",44.304,1.31e-15,"Putative ankyrin repeat protein FPV245","Viruses; Poxviridae; Chordopoxvirinae; Avipoxvirus","Viruses","Avipoxvirus"
"34","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i2",NA,"V245_FOWPN","Q:239-18,H:108-181",41.892,6.84e-12,"Putative ankyrin repeat protein FPV245","Viruses; Poxviridae; Chordopoxvirinae; Avipoxvirus","Viruses","Avipoxvirus"
"35","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i2",NA,"V245_FOWPN","Q:239-27,H:174-243",42.254,2.03e-07,"Putative ankyrin repeat protein FPV245","Viruses; Poxviridae; Chordopoxvirinae; Avipoxvirus","Viruses","Avipoxvirus"
"36","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i23",NA,"Y1861_PYRAE","Q:277-110,H:141-196",46.429,4.07e-10,"Putative ankyrin repeat protein PAE1861","Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum","Archaea","Pyrobaculum"
"37","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i4",NA,"YL093_MIMIV","Q:222-1,H:341-414",52.703,3.31e-15,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"38","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i4",NA,"YL093_MIMIV","Q:225-4,H:233-310",50,2.63e-12,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"39","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i4",NA,"YL093_MIMIV","Q:222-4,H:271-347",49.351,6.29e-12,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"40","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i4",NA,"YL093_MIMIV","Q:222-4,H:304-380",49.351,1.25e-11,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"41","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i4",NA,"YL093_MIMIV","Q:225-4,H:196-277",43.902,2.31e-09,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"42","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i4",NA,"YL093_MIMIV","Q:222-88,H:374-418",57.778,2.17e-08,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"43","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i4",NA,"YL093_MIMIV","Q:225-4,H:159-240",37.805,5.87e-07,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"44","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:357-19,H:302-418",51.282,1.25e-26,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"45","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:363-1,H:267-391",48,2.23e-26,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"46","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:357-1,H:232-358",48.031,3.72e-25,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"47","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:369-1,H:154-288",37.037,8.82e-17,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"48","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:366-1,H:118-251",37.313,8.91e-16,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"49","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:363-118,H:337-418",48.78,1.17e-14,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"50","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:363-1,H:82-214",37.594,9.61e-14,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"51","TRINITY_DN105417_c0_g1","TRINITY_DN105417_c0_g1_i6","TRINITY_DN105417_c0_g1::TRINITY_DN105417_c0_g1_i6::g.63183::m.63183","YL093_MIMIV","Q:321-1,H:59-177",38.655,1.26e-10,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"52","TRINITY_DN106660_c0_g1","TRINITY_DN106660_c0_g1_i6",NA,"MCP2_THEMA","Q:274-80,H:441-512",36.111,5.66e-06,"Methyl-accepting chemotaxis protein 2","Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga","Bacteria","Thermotoga"
"53","TRINITY_DN106660_c0_g1","TRINITY_DN106660_c0_g1_i7","TRINITY_DN106660_c0_g1::TRINITY_DN106660_c0_g1_i7::g.74444::m.74444","MCP2_THEMA","Q:314-12,H:402-502",35.644,4.74e-10,"Methyl-accepting chemotaxis protein 2","Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga","Bacteria","Thermotoga"
"54","TRINITY_DN106660_c0_g1","TRINITY_DN106660_c0_g1_i7","TRINITY_DN106660_c0_g1::TRINITY_DN106660_c0_g1_i7::g.74444::m.74444","MCP2_THEMA","Q:317-3,H:422-529",31.481,1.79e-06,"Methyl-accepting chemotaxis protein 2","Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga","Bacteria","Thermotoga"
"55","TRINITY_DN106773_c0_g1","TRINITY_DN106773_c0_g1_i3","TRINITY_DN106773_c0_g1::TRINITY_DN106773_c0_g1_i3::g.45744::m.45744","VF232_IIV3","Q:342-545,H:595-670",38.462,1.66e-06,"Putative ubiquitin thioesterase 232R","Viruses; Iridoviridae; Betairidovirinae; Chloriridovirus","Viruses","Chloriridovirus"
"56","TRINITY_DN107043_c1_g1","TRINITY_DN107043_c1_g1_i1",NA,"POL_HV1ND","Q:1-195,H:694-765",33.333,6.64e-07,"Gag-Pol polyprotein","Viruses; Ortervirales; Retroviridae; Orthoretrovirinae; Lentivirus","Viruses","Lentivirus"
"57","TRINITY_DN107443_c0_g1","TRINITY_DN107443_c0_g1_i1",NA,"RIBX_MIMIV","Q:374-30,H:45-159",36.522,8.86e-17,"N-glycosidase R617","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"58","TRINITY_DN107516_c0_g1","TRINITY_DN107516_c0_g1_i1",NA,"GUNF_CLOTH","Q:1-255,H:49-133",60,1.24e-27,"Endoglucanase F","Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Hungateiclostridium","Bacteria","Hungateiclostridium"
"59","TRINITY_DN107516_c0_g1","TRINITY_DN107516_c0_g1_i2",NA,"GUNG_CLOCE","Q:195-350,H:91-142",57.692,9.91e-12,"Endoglucanase G","Bacteria; Firmicutes; Clostridia; Clostridiales; Hungateiclostridiaceae; Ruminiclostridium","Bacteria","Ruminiclostridium"
"60","TRINITY_DN107598_c2_g1","TRINITY_DN107598_c2_g1_i4","TRINITY_DN107598_c2_g1::TRINITY_DN107598_c2_g1_i4::g.30420::m.30420","Y045_METMA","Q:411-1,H:193-331",34.532,4.07e-14,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"61","TRINITY_DN107598_c2_g1","TRINITY_DN107598_c2_g1_i4","TRINITY_DN107598_c2_g1::TRINITY_DN107598_c2_g1_i4::g.30420::m.30420","Y045_METMA","Q:318-1,H:159-265",33.645,1.44e-08,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"62","TRINITY_DN107615_c0_g1","TRINITY_DN107615_c0_g1_i1","TRINITY_DN107615_c0_g1::TRINITY_DN107615_c0_g1_i1::g.27458::m.27458","PORA_BACPM","Q:140-412,H:210-293",38.71,1.49e-06,"Beta-porphyranase A","Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides","Bacteria","Bacteroides"
"63","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:421-499",26.582,3.56e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"64","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:433-511",26.582,3.56e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"65","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:373-451",25.316,5.81e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"66","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:397-475",25.316,5.81e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"67","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:409-487",25.316,5.81e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"68","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:361-439",26.582,6.47e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"69","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:349-427",27.848,7.2e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"70","TRINITY_DN107872_c0_g1","TRINITY_DN107872_c0_g1_i1",NA,"EXSA_BACCE","Q:18-254,H:385-463",24.051,9.47e-06,"Spore coat assembly protein ExsA","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group","Bacteria","Bacillus cereus group"
"71","TRINITY_DN10890_c0_g1","TRINITY_DN10890_c0_g1_i1",NA,"YA934_RHOBA","Q:216-25,H:2-65",56.25,8.31e-20,"UPF0337 protein RB10934","Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Rhodopirellula","Bacteria","Rhodopirellula"
"72","TRINITY_DN109118_c0_g1","TRINITY_DN109118_c0_g1_i2","TRINITY_DN109118_c0_g1::TRINITY_DN109118_c0_g1_i2::g.67111::m.67111","Y045_METMA","Q:436-5,H:186-329",41.667,1.13e-26,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"73","TRINITY_DN109118_c0_g1","TRINITY_DN109118_c0_g1_i2","TRINITY_DN109118_c0_g1::TRINITY_DN109118_c0_g1_i2::g.67111::m.67111","Y045_METMA","Q:451-5,H:115-263",36.242,1.47e-22,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"74","TRINITY_DN109118_c0_g1","TRINITY_DN109118_c0_g1_i2","TRINITY_DN109118_c0_g1::TRINITY_DN109118_c0_g1_i2::g.67111::m.67111","Y045_METMA","Q:451-11,H:148-294",35.374,6.24e-20,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"75","TRINITY_DN109118_c0_g1","TRINITY_DN109118_c0_g1_i2","TRINITY_DN109118_c0_g1::TRINITY_DN109118_c0_g1_i2::g.67111::m.67111","Y045_METMA","Q:445-2,H:83-231",34.899,8.5e-19,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"76","TRINITY_DN109118_c0_g1","TRINITY_DN109118_c0_g1_i2","TRINITY_DN109118_c0_g1::TRINITY_DN109118_c0_g1_i2::g.67111::m.67111","Y045_METMA","Q:451-38,H:214-351",36.232,1.78e-17,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"77","TRINITY_DN109118_c0_g1","TRINITY_DN109118_c0_g1_i2","TRINITY_DN109118_c0_g1::TRINITY_DN109118_c0_g1_i2::g.67111::m.67111","Y045_METMA","Q:448-119,H:248-357",39.091,1.49e-14,"Putative ankyrin repeat protein MM_0045","Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina","Archaea","Methanosarcina"
"78","TRINITY_DN109391_c1_g1","TRINITY_DN109391_c1_g1_i11","TRINITY_DN109391_c1_g1::TRINITY_DN109391_c1_g1_i11::g.69328::m.69328","YL093_MIMIV","Q:3-326,H:241-350",44.643,4.63e-12,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"79","TRINITY_DN109391_c1_g1","TRINITY_DN109391_c1_g1_i11","TRINITY_DN109391_c1_g1::TRINITY_DN109391_c1_g1_i11::g.69328::m.69328","YL093_MIMIV","Q:6-326,H:312-416",44.037,6.9e-12,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"80","TRINITY_DN109391_c1_g1","TRINITY_DN109391_c1_g1_i11","TRINITY_DN109391_c1_g1::TRINITY_DN109391_c1_g1_i11::g.69328::m.69328","YL093_MIMIV","Q:3-326,H:204-313",38.393,2.3e-07,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"81","TRINITY_DN109391_c1_g1","TRINITY_DN109391_c1_g1_i11","TRINITY_DN109391_c1_g1::TRINITY_DN109391_c1_g1_i11::g.69328::m.69328","YL093_MIMIV","Q:6-326,H:168-280",37.168,1.15e-06,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"82","TRINITY_DN109391_c1_g1","TRINITY_DN109391_c1_g1_i11","TRINITY_DN109391_c1_g1::TRINITY_DN109391_c1_g1_i11::g.69328::m.69328","YL093_MIMIV","Q:3-230,H:348-419",40.789,5.74e-06,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
